ID;R;PD;PE;FD;ProtectedStatus;Clima;Ecorregion;PP_MM;TMED;logitude;latitude;CodRegion
22443;6;2.392630791;0.002791589;1.498175157;1;Temperate;Valdivian_forests;2100;9;-73.079986;-45.632546;11
22444;6;2.392630791;0.002791589;1.498175157;0;Temperate;Patagonian_Steppe;2100;9;-73.079986;-45.882546;11
22445;6;2.392630791;0.002791589;1.498175157;0;Temperate;Patagonian_Steppe;2100;9;-73.079986;-46.132546;11
22446;6;2.392630791;0.002791589;1.498175157;0;Temperate;Patagonian_Steppe;2100;9;-73.079986;-46.382546;11
22447;5;1.897820901;0.001676273;1.500806719;1;Temperate;Patagonian_Steppe;2100;9;-73.079986;-46.632546;11
22448;7;2.741494341;0.005884374;1.495824592;1;Temperate;Patagonian_Steppe;2100;9;-73.079986;-46.882546;11
22449;7;2.741494341;0.005884374;1.495824592;1;Temperate;Patagonian_Steppe;2100;9;-73.079986;-47.132546;11
22450;7;2.741494341;0.005884374;1.495824592;1;Temperate;Patagonian_Steppe;2100;9;-73.079986;-47.382546;11
22451;8;3.052323894;0.007177173;1.491718126;1;Temperate;Magellanic_forests;2100;9;-73.079986;-47.632546;11
22452;8;3.052323894;0.007177173;1.491718126;0;Temperate;Magellanic_forests;2100;9;-73.079986;-47.882546;11
22453;8;3.052323894;0.007177173;1.491718126;1;Temperate;Magellanic_forests;2100;9;-73.079986;-48.132546;11
22454;10;3.402921894;0.007765264;1.640537083;1;Temperate;Magellanic_forests;2100;9;-73.079986;-48.382546;11
22455;10;3.402921894;0.007765264;1.640537083;1;Temperate;Magellanic_forests;2100;9;-73.079986;-48.632546;11
22456;11;3.580318034;0.00813898;1.607447338;1;Temperate;Magellanic_forests;2100;9;-73.079986;-48.882546;11
22457;9;3.363632451;0.00693227;1.615434549;1;Temperate;Magellanic_forests;2100;9;-73.079986;-49.132546;12
22458;8;3.302750481;0.006844162;1.664409402;1;Polar;Magellanic_forests;700;4;-73.079986;-49.382546;12
22463;10;3.290961851;0.005609788;1.445858235;1;Polar;Magellanic_forests;700;4;-73.079986;-50.632546;12
22464;10;3.290961851;0.005609788;1.445858235;1;Temperate;Magellanic_forests;1800;6.5;-73.079986;-50.882546;12
22465;10;3.273942451;0.012770145;1.499019027;1;Temperate;Magellanic_forests;2100;9;-73.079986;-51.132546;12
22466;10;3.644358761;0.007736703;1.395476404;1;Temperate;Patagonian_Steppe;1800;6.5;-73.079986;-51.382546;12
22467;5;2.164889211;0.002084565;1.813051;1;Temperate;Magellanic_forests;1800;6.5;-73.079986;-51.632546;12
22468;5;2.164889211;0.002084565;1.813051;1;Temperate;Magellanic_forests;1800;6.5;-73.079986;-51.882546;12
22469;5;2.164889211;0.002084565;1.813051;1;Temperate;Magellanic_forests;1800;6.5;-73.079986;-52.132546;12
22470;4;2.053405851;0.001960133;1.95188935;0;Temperate;Magellanic_forests;1800;6.5;-73.079986;-52.382546;12
22471;4;2.053405851;0.001960133;1.95188935;0;Temperate;Magellanic_forests;1800;6.5;-73.079986;-52.632546;12
22472;3;1.91812295;0.003039416;1.206285054;1;Temperate;Magellanic_forests;1800;6.5;-73.079986;-52.882546;12
22473;3;1.91812295;0.003039416;1.206285054;1;Temperate;Magellanic_forests;1800;6.5;-73.079986;-53.132546;12
22474;1;0.84684718;0.002056133;0;1;Temperate;Magellanic_forests;1800;6.5;-73.079986;-53.382546;12
22475;0;0;0;NA;1;Polar;Magellanic_forests;700;4;-73.079986;-53.632546;12
22476;0;0;0;NA;1;Polar;Magellanic_forests;700;4;-73.079986;-53.882546;12
22477;0;0;0;NA;1;Polar;Magellanic_forests;700;4;-73.079986;-54.132546;12
22478;0;0;0;NA;0;Polar;Magellanic_forests;700;4;-73.079986;-54.382546;12
22558;10;3.365448591;0.0052366;1.568857752;0;Temperate;Valdivian_forests;900;12;-72.829986;-35.882546;16
22559;12;3.665851741;0.006331366;1.703568075;0;Temperate;Valdivian_forests;700;11;-72.829986;-36.132546;16
22560;13;3.819581371;0.006750013;1.641051185;0;Temperate;Valdivian_forests;700;11;-72.829986;-36.382546;8
22561;12;3.352109991;0.006060098;1.692612793;0;Temperate;Valdivian_forests;700;11;-72.829986;-36.632546;8
22562;12;3.352109991;0.006060098;1.692612793;1;Temperate;Valdivian_forests;700;11;-72.829986;-36.882546;8
22563;12;3.352109991;0.006060098;1.692612793;0;Temperate;Chilean_matorral;700;11;-72.829986;-37.132546;8
22564;11;2.857300101;0.004944782;1.701809949;0;Temperate;Chilean_matorral;700;11;-72.829986;-37.382546;8
22565;11;2.857300101;0.004944782;1.701809949;1;Temperate;Valdivian_forests;700;11;-72.829986;-37.632546;9
22566;12;3.292689961;0.005586983;1.719800073;1;Temperate;Valdivian_forests;700;11;-72.829986;-37.882546;9
22567;11;3.075563971;0.00504372;1.643193682;0;Temperate;Valdivian_forests;700;11;-72.829986;-38.132546;9
22568;13;3.787499851;0.006702299;1.706704827;0;Temperate;Chilean_matorral;700;11;-72.829986;-38.382546;9
22569;13;3.640861331;0.00779828;1.600764698;0;Temperate;Chilean_matorral;700;11;-72.829986;-38.632546;9
22570;13;3.640861331;0.00779828;1.600764698;0;Temperate;Chilean_matorral;700;11;-72.829986;-38.882546;9
22571;12;3.640861331;0.007467168;1.566568056;0;Temperate;Chilean_matorral;700;11;-72.829986;-39.132546;9
22572;12;3.640861331;0.007467168;1.566568056;0;Temperate;Chilean_matorral;2100;9.5;-72.829986;-39.382546;14
