ID;SR;PD.obs;PD.SES;PD.Pvalue;FD.obs;FD.SES;FD.Pvalue;PE.obs;PE.SES;PE.Pvalue;Protegido;Clima;Ecorregion;Climate;Ecoregion;PP_MM;TMED;ALT_MIN;ALT_MAX;long;lat;codregion
22618;15;4.373014481;-0.120307653;0.4885;2.83881491;-0.422223656;0.3425;0.013604026;-0.435321027;0.578578579;1;2;6;Templado;Bosque_Maguellanico;700;11;100;1000;-72.829986;-50.882546;12
22619;15;4.386660551;-0.092924956;0.4805;3.175011233;0.059005983;0.4845;0.017206037;-0.103217381;0.382382382;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.829986;-51.132546;12
22620;11;3.509116791;-0.13722647;0.4795;2.676774745;0.115189657;0.514;0.006742369;-0.721806126;0.745745746;0;1;6;Arido;Bosque_Maguellanico;120;8;800;3000;-72.829986;-51.382546;12
22621;8;2.843044391;-0.147961375;0.459;2.335604332;0.318112671;0.591;0.004639646;-0.62576536;0.696696697;0;1;6;Arido;Bosque_Maguellanico;120;8;800;3000;-72.829986;-51.632546;12
22622;5;2.164889211;-0.013859139;0.4665;1.496947737;-0.202658202;0.415;0.002084565;-0.158751545;0.547547548;1;1;6;Arido;Bosque_Maguellanico;120;8;800;3000;-72.829986;-51.882546;12
22623;5;2.164889211;-0.027846171;0.461;1.496947737;-0.260672235;0.411;0.002084565;-0.158751545;0.547547548;0;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.829986;-52.132546;12
22624;6;2.459077041;-0.089517469;0.4675;1.869679262;0.16058419;0.5355;0.002636061;-0.475128206;0.65965966;0;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.829986;-52.382546;12
22625;6;2.65174442;0.252662032;0.576;1.963125079;0.410202454;0.61;0.004211742;0.417631639;0.283283283;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.829986;-52.632546;12
22626;4;2.21231078;0.41601906;0.6255;1.569176007;0.608266044;0.681;0.003590912;0.539099071;0.257257257;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.829986;-52.882546;12
22627;2;1.65878175;0.512720187;0.6525;0.911444876;0.320611458;0.564;0.002850801;1.137311931;0.135135135;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.829986;-53.132546;12
22628;2;1.65878175;0.569751947;0.6735;0.911444876;0.329175276;0.5675;0.002850801;1.137311931;0.135135135;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.829986;-53.382546;12
22629;0;0;0;0;0;0;0;0;0;0;1;3;6;Polar;Bosque_Maguellanico;700;4;2000;4300;-72.829986;-53.632546;12
22630;0;0;0;0;0;0;0;0;0;0;1;3;6;Polar;Bosque_Maguellanico;700;4;2000;4300;-72.829986;-53.882546;12
22631;0;0;0;0;0;0;0;0;0;0;1;3;6;Polar;Bosque_Maguellanico;700;4;2000;4300;-72.829986;-54.132546;12
22632;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22710;9;3.090118432;-0.240226097;0.451;2.529200735;0.28433305;0.585;0.00457502;-0.446686217;0.652652653;0;2;5;Templado;Bosque_Valdiviano;900;12;0;750;-72.579986;-35.382546;7
22711;9;3.090118432;-0.361362748;0.4065;2.529200735;0.256701649;0.5735;0.00457502;-0.446686217;0.652652653;1;2;5;Templado;Bosque_Valdiviano;700;11;100;1000;-72.579986;-35.632546;7
22712;11;3.662099092;-0.141050001;0.4155;2.644636838;-0.082296231;0.462;0.005779862;0.01447897;0.483483483;1;2;5;Templado;Bosque_Valdiviano;700;11;100;1000;-72.579986;-35.882546;7
22713;12;3.745376252;-0.339161737;0.373;3.003803189;0.250741448;0.573;0.006331366;-0.394571464;0.638638639;0;2;5;Templado;Bosque_Valdiviano;700;11;100;1000;-72.579986;-36.132546;16
22714;13;3.899105882;-0.300294717;0.4015;3.015359097;0.103115646;0.519;0.006750013;-0.414718014;0.635635636;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-36.382546;16
22715;12;3.733541712;-0.139047392;0.4455;2.749571254;-0.146351537;0.4355;0.006060098;-0.332449323;0.600600601;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-36.632546;8
